timeline,q,cap,K,period,pattern,victim,max_elapsed,argmax_session,c_actual,within_cap,violation_gt40
model,19,2,10,3,victim-max,0,37,0,690,1,0
model,19,2,10,3,others-max,0,38,9,690,1,0
model,19,2,10,3,victim-max,5,37,5,690,1,0
model,19,2,10,3,others-max,5,38,9,690,1,0
model,19,2,10,3,victim-max,9,37,9,690,1,0
model,19,2,10,3,others-max,9,37,0,690,1,0
model,19,2,10,3,front-max,,24,0,436,1,0
model,19,2,10,3,back-max,,26,3,460,1,0
model,19,2,10,3,tail-max,,21,9,304,1,0
model,19,2,10,5,all-max,,38,4,690,1,0
model,19,2,10,5,victim-max,0,37,0,690,1,0
model,19,2,10,5,others-max,0,38,1,690,1,0
model,19,2,10,5,victim-max,5,37,5,690,1,0
model,19,2,10,5,others-max,5,38,7,690,1,0
model,19,2,10,5,victim-max,9,37,9,690,1,0
model,19,2,10,5,others-max,9,37,0,690,1,0
model,19,2,10,5,front-max,,24,0,436,1,0
model,19,2,10,5,back-max,,26,7,460,1,0
model,19,2,10,5,tail-max,,20,9,304,1,0
model,19,2,11,1,all-max,,38,0,690,1,0
model,19,2,11,1,victim-max,0,37,0,690,1,0
model,19,2,11,1,others-max,0,38,9,690,1,0
model,19,2,11,1,victim-max,5,37,5,690,1,0
model,19,2,11,1,others-max,5,38,9,690,1,0
model,19,2,11,1,victim-max,10,37,10,690,1,0
model,19,2,11,1,others-max,10,38,8,690,1,0
model,19,2,11,1,front-max,,25,0,436,1,0
model,19,2,11,1,back-max,,26,3,460,1,0
model,19,2,11,1,tail-max,,22,10,304,1,0
model,19,2,11,2,all-max,,38,2,690,1,0
model,19,2,11,2,victim-max,0,37,0,690,1,0
model,19,2,11,2,others-max,0,38,10,690,1,0
model,19,2,11,2,victim-max,5,37,5,690,1,0
model,19,2,11,2,others-max,5,38,4,690,1,0
model,19,2,11,2,victim-max,10,37,10,690,1,0
model,19,2,11,2,others-max,10,37,0,690,1,0
model,19,2,11,2,front-max,,24,0,436,1,0
model,19,2,11,2,back-max,,26,1,460,1,0
model,19,2,11,2,tail-max,,20,10,304,1,0
model,19,2,11,3,all-max,,40,9,690,1,0
model,19,2,11,3,victim-max,0,37,0,690,1,0
model,19,2,11,3,others-max,0,38,6,690,1,0
model,19,2,11,3,victim-max,5,37,5,690,1,0
model,19,2,11,3,others-max,5,38,8,690,1,0
model,19,2,11,3,victim-max,10,37,10,690,1,0
model,19,2,11,3,others-max,10,37,0,690,1,0
model,19,2,11,3,front-max,,24,0,436,1,0
model,19,2,11,3,back-max,,26,3,460,1,0
model,19,2,11,3,tail-max,,21,10,304,1,0
model,19,2,11,5,all-max,,39,9,690,1,0
model,19,2,11,5,victim-max,0,37,0,690,1,0
model,19,2,11,5,others-max,0,38,1,690,1,0
model,19,2,11,5,victim-max,5,37,5,690,1,0
model,19,2,11,5,others-max,5,38,7,690,1,0
model,19,2,11,5,victim-max,10,37,10,690,1,0
model,19,2,11,5,others-max,10,38,5,690,1,0
model,19,2,11,5,front-max,,24,0,436,1,0
model,19,2,11,5,back-max,,26,8,460,1,0
model,19,2,11,5,tail-max,,20,10,304,1,0
model,19,2,12,1,all-max,,38,0,690,1,0
model,19,2,12,1,victim-max,0,37,0,690,1,0
model,19,2,12,1,others-max,0,38,10,690,1,0
model,19,2,12,1,victim-max,6,37,6,690,1,0
